I enjoy learning statistics,Feedback on my work has been fair,Instructions for exercises are clear,Managing my time in this course has been difficult,I am satisfied with the course,I would not choose this course again,Age,Sex,Country,Hours,Summary2
4,4,4,2,2,4,59,1,1,25,22
4,3,3,3,4,2,51,0,1,32,15
4,4,4,2,4,2,46,0,0,16,18
2,2,2,2,4,2,46,0,0,24,18
3,3,3,3,4,2,46,1,1,24,20
4,4,4,4,5,1,46,0,1,23,22
3,4,4,4,3,3,45,0,1,17,21
3,3,3,3,3,3,43,1,0,35,17
4,4,4,3,4,2,43,0,0,25,23
3,2,2,2,2,4,42,0,1,18,15
4,4,3,3,4,2,41,1,0,24,20
1,1,1,1,1,5,46,0,1,26,11
4,4,4,4,4,2,41,0,1,32,20
5,5,5,5,5,1,40,1,1,26,24
4,4,4,2,4,2,40,0,0,30,25
5,5,5,5,5,1,40,1,1,40,26
2,2,2,2,2,4,39,0,0,23,15
2,2,2,2,2,4,39,0,1,27,16
5,4,4,4,5,1,38,0,0,24,23
4,3,3,3,4,2,38,1,0,34,19
4,5,4,4,5,1,37,0,0,26,24
5,5,5,3,5,1,37,1,0,35,24
4,4,4,4,4,2,37,1,0,24,19
2,2,2,2,4,2,36,0,1,22,18
5,5,5,5,4,2,36,1,0,24,28
4,4,4,4,2,4,35,0,1,28,27
3,3,4,3,5,1,35,0,1,25,25
3,3,2,2,2,4,35,0,0,30,13
5,5,5,1,1,5,35,0,0,29,25
4,4,4,2,4,2,35,1,1,22,20
4,4,4,2,5,1,34,1,0,22,24
5,5,5,5,5,1,33,1,1,9,28
2,2,2,2,2,4,33,0,1,36,17
5,5,5,5,5,1,33,1,0,31,29
4,4,4,4,5,1,33,0,1,35,25
5,4,3,3,5,1,32,0,0,41,18
4,4,4,4,5,1,32,1,1,25,26
5,5,5,5,5,1,32,1,0,32,26
4,4,4,4,4,2,31,1,1,25,25
5,5,5,5,5,1,31,0,1,33,24
4,4,4,1,1,5,30,1,0,29,23
2,3,3,2,4,2,30,0,1,23,20
4,3,4,4,5,1,30,1,1,27,24
4,4,4,3,5,1,29,0,0,33,16
2,2,2,2,4,2,57,0,0,28,13
5,4,4,3,5,1,28,0,1,34,25
4,4,4,4,3,3,28,0,1,16,22
4,4,2,3,4,2,28,0,1,33,19
4,2,4,1,4,2,44,0,1,23,16
4,3,5,3,5,1,27,0,1,13,23
